model,stage,accuracy,precision,recall,threshold,params_json,meets_accuracy_floor,accuracy_floor,model_path
logistic_regression,optimized_search,0.78075,0.6001575216592282,0.9082240762812872,0.2,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.78575,0.607324244854317,0.9026618990862137,0.21,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.788625,0.6117424242424242,0.8982916170043703,0.22,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.793,0.6180422264875239,0.8955105284068335,0.23,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.7975,0.6248955722639933,0.8915375446960667,0.24,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.800875,0.6304347826086957,0.8871672626142233,0.25,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.805625,0.6382183908045977,0.8823996821613032,0.26,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.80925,0.6446715328467153,0.8772348033373063,0.27,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.811875,0.6500593119810202,0.8708780294000794,0.28,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.814625,0.6555354993983152,0.8657131505760827,0.29,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.8165,0.6602505346776657,0.8585617798967025,0.3,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.81825,0.6648062015503876,0.8518077075883989,0.31,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.82075,0.6708740927737457,0.8446563369090186,0.32,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.824125,0.6782273603082851,0.8390941597139452,0.33,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.826375,0.6838331160365059,0.8335319825188717,0.34,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.828625,0.6896095301125083,0.8279698053237982,0.35,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.831625,0.6976351351351351,0.8204211362733412,0.36,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.833375,0.7028786840301576,0.8148589590782678,0.37,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.833625,0.7069085833914864,0.8049264998013508,0.38,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.835625,0.7131205673758865,0.7989670242352006,0.39,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.837875,0.720216606498195,0.7926102502979738,0.4,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.838875,0.7249084249084249,0.7862534763607469,0.41,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.84,0.7298402081010776,0.7802940007945968,0.42,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.8405,0.7340626178800452,0.7731426301152166,0.43,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.842,0.7401303181295515,0.7671831545490664,0.44,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.841375,0.7426127527216174,0.7588398887564561,0.45,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.842125,0.7480221518987342,0.7512912197059992,0.46,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
